ID	质控状态
2BT20220200046	PASS
2BT20220200048	PASS
2BT20220200050	PASS
2BT20220200051	PASS
2BT20220200052	PASS
2STC1204160022	PASS
2STC1204160043	PASS
2STC1204160067	PASS
2STC1204160090	PASS
2STC1204160106	PASS
2STC1204160142	PASS
2STC1204160162	PASS
2STC1204160164	PASS
2STC1204169650	PASS
2STC1204169672	PASS
2W001811571341	PASS
2W001811580212	PASS
2W011709240419	PASS
2W021709222193	PASS
2W021811571499	PASS
2W031808160321	PASS
2W051709224252	PASS
2W051709229263	PASS
2W081709222177	PASS
2W111811585128	PASS
2W131809208729	PASS
2W131811571457	PASS
2W131811573195	PASS
2W141811570903	PASS
2W161709222468	PASS
2W161808197987	PASS
2W161811573172	PASS
2W161811580220	PASS
2W171811571452	PASS
2W191709240487	PASS
2W191808160145	PASS
2W201709241831	PASS
2W201809194823	PASS
2W211709229083	PASS
2W211811573187	PASS
2W221811572079	PASS
2W221811581507	PASS
2W231811571511	PASS
2W231811571899	PASS
2W241808160133	PASS
2W261709240049	PASS
2W261709241932	PASS
2W261811583155	PASS
2W271811571504	PASS
2W271811571879	PASS
2W301808190197	PASS
2W301811573188	PASS
2W311808197463	PASS
2W311811571347	PASS
2W311811571793	PASS
2W311811572117	PASS
2W318091937220	PASS
2W321809192752	PASS
2W321811571571	PASS
2W331810055158	PASS
2W331811580223	PASS
2W331811583044	PASS
2W341709229143	PASS
2W351808160131	PASS
2W351811583947	PASS
2W391709221278	PASS
2W391709241701	PASS
2W391808190054	PASS
2W391811572127	PASS
2W391811580140	PASS
2W401709222976	PASS
2W401811572780	PASS
2W401811573239	PASS
2W411810050788	PASS
2W411811571429	PASS
2W421709240105	PASS
2W441709229267	PASS
2W441809191692	PASS
2W441811571565	PASS
2W461811571507	PASS
2W461811572832	PASS
2W501709222338	PASS
2W511811572813	PASS
2W521709229257	PASS
2W541709222293	PASS
2W541811571689	PASS
2W541811580088	PASS
2W551810050511	PASS
2W561709221482	PASS
2W581811571503	PASS
2W581811580910	PASS
2W601709240113	PASS
2W601808160154	PASS
2W601811571693	PASS
2W601811580166	PASS
2W621709241844	PASS
2W621808190049	PASS
2W621811583057	PASS
2W641709240440	PASS
2W641811573171	PASS
2W651811583059	PASS
2W661808190064	PASS
2W671809208949	PASS
2W691709221736	PASS
2W691709222283	PASS
2W701811573176	PASS
2W711810055058	PASS
2W711810055144	PASS
2W711811573178	PASS
2W731811571444	PASS
2W761808198132	PASS
2W771709222127	PASS
2W771809208723	PASS
2W771810050819	PASS
2W791709222232	PASS
2W791709241491	PASS
2W791709241848	PASS
2W811709228995	PASS
2W811811581926	PASS
2W821808196514	PASS
2W821808198142	PASS
2W841709222247	PASS
2W841811583117	PASS
2W871808160336	PASS
2W901709222373	PASS
2W911709240519	PASS
2W931811571427	PASS
2W931811571688	PASS
2W931811573106	PASS
2W941808211805	PASS
2W941811571476	PASS
2W941811580115	PASS
2W941811583932	PASS
2W951709222764	PASS
2W961709240139	PASS
2W961811571505	PASS
2WC12001020MM1	PASS
2WC12001020MM2	PASS
2WC1200102KLD1	PASS
2WC1200102KLD3	PASS
2WC1200102KLD7	PASS
2WC1200102MM11	PASS
2WC120010GL299	PASS
2WC120010GL300	PASS
2WC120010GL301	PASS
2WC120010GL305	PASS
2WC120010GL308	PASS
2WC120010GL309	PASS
2WC120010GL314	PASS
2WC120010GL316	PASS
2WC120010GL317	PASS
2WC120010KLD12	PASS
2WC120010KLD22	PASS
2WC12001YHT246	PASS
2WC12001YHT249	PASS
2WC12001YHT273	PASS
2WC12001YHT274	PASS
2WC12001YHT277	PASS
2WJ1190618001T	PASS
2WJ1190618004T	PASS
2WJ1190618006T	PASS
2WJ1190618008T	PASS
2WJ1190618009M	PASS
2WJ1190618009T	PASS
2WJ1190618012T	PASS
2WJ1190618014M	PASS
2WJ1190618015M	PASS
2WJ1190618015T	PASS
2WJ1190618016T	PASS
2WJ1190618017M	PASS
2WJ1190618018M	PASS
2WJ1190618018T	PASS
2WJ1190618019T	PASS
2WJ1190618020T	PASS
2WJ1190618021T	PASS
2WJ1190618023T	PASS
2WJ1190618025T	PASS
2WJ1190618029M	PASS
30271811590728	PASS
30301809292720	PASS
30651809199114	PASS
31751809291191	PASS
31871809291155	PASS
32931809199445	PASS
33141809291307	PASS
33361809290783	PASS
33421811591258	PASS
33631810063430	PASS
33671809184403	PASS
35611809291147	PASS
36171811591723	PASS
36661809195990	PASS
36841811592397	PASS
40081809199067	PASS
40331811590540	PASS
40521809196067	PASS
40631811591211	PASS
40831811590474	PASS
41421811591187	PASS
41521809183261	PASS
41811809199678	PASS
42211809195255	PASS
42631811590642	PASS
43051811592473	PASS
43141811590568	PASS
43191809198958	PASS
43451809199285	PASS
43571811593362	PASS
43791809291206	PASS
43871809182034	PASS
43901809195726	PASS
44111809199723	PASS
44191809198715	PASS
44321809291222	PASS
45701809199044	PASS
45851809199888	PASS
45971809196042	PASS
46021809291201	PASS
46291809199360	PASS
46781809196093	PASS
46911809196131	PASS
47231809196035	PASS
47341809195883	PASS
47421809198721	PASS
47531811591213	PASS
47801811591153	PASS
48331811590350	PASS
48391809195882	PASS
48441809195924	PASS
48511809196126	PASS
48701810065232	PASS
49271809199367	PASS
5161180816626W	PASS
5491180816518W	PASS
5765180816624W	PASS
60621809195693	PASS
60731809199199	PASS
61191809199230	PASS
61261809291179	PASS
61421809199029	PASS
61531809199905	PASS
61751809199657	PASS
6192180816018W	PASS
61951811591204	PASS
61981811590401	PASS
62011810062972	PASS
62251809195969	PASS
6228180816892W	PASS
62511809199155	PASS
62541810066150	PASS
64651809199375	PASS
65451811593477	PASS
65791811590935	PASS
66771809199143	PASS
67011811591089	PASS
67061809290952	PASS
67061809291202	PASS
67551809291156	PASS
68471811591176	PASS
68561811592942	PASS
68691809199792	PASS
68911809199743	PASS
69781809197348	PASS
69791811591150	PASS
69861809291332	PASS
70151809199768	PASS
70201809195745	PASS
70311811593450	PASS
70411811592361	PASS
70441811590737	PASS
71451809198991	PASS
71501811591180	PASS
71711809199151	PASS
72141809196090	PASS
72631811593305	PASS
72741811591072	PASS
72981809291313	PASS
73031811590085	PASS
73131809291254	PASS
73451811590387	PASS
73911809291232	PASS
74271809199166	PASS
79291809190102	PASS
81351809190272	PASS
81451809190398	PASS
85961809190477	PASS
86801809190302	PASS
88021809190224	PASS
88661809190032	PASS
89031809190043	PASS
91851809190088	PASS
97611809190428	PASS
98581809190431	PASS
98711809190466	PASS
99761809190256	PASS
BDC11907090007	PASS
BDC11907090014	PASS
BDC11907090021	PASS
BDC11907090027	PASS
BDC11907090032	PASS
BDC11907090038	PASS
BDC11907090041	PASS
BDC11907090165	PASS
BDC11907090166	PASS
BDC11907090199	PASS
WDC11804190005	PASS
WDC11804190006	PASS
WDC11804190008	PASS
WDC11804190009	PASS
WDC11804190010	PASS
WDC11804190012	PASS
WDC11804190020	PASS
WDC11804190034	PASS
WDC11804190042	PASS
WDC11804190044	PASS
WDC11804190056	PASS
WDC11804190058	PASS
WDC11804190061	PASS
WDC11804190064	PASS
WDC11804190076	PASS
WDC11804190079	PASS
WDC11804190082	PASS
WDC11804190088	PASS
WDC11804190116	PASS
WDC11804190117	PASS
WDC11806290001	PASS
WDC11806290002	PASS
WDC11806290012	PASS
WDC11806290016	PASS
WDC11806290047	PASS
WDC11806290049	PASS
WDC11806290051	PASS
WDC11806290059	PASS
WDC11806290067	PASS
WDC11806290077	PASS
WDC11806290086	PASS
WDC11806290089	PASS
WDC11806290093	PASS
WDC11806290094	PASS
WDC11806290095	PASS
WDC11806290096	PASS
WDC11806290098	PASS
WDC11806290100	PASS
WDC11806290102	PASS
WDC11806290113	PASS
WDC11806290114	PASS
WDC11806290115	PASS
WDC11806290120	PASS
WDC11806290122	PASS
WDC11806290123	PASS
WDC11806290124	PASS
WDC11806290128	PASS
WDC11806290129	PASS
WDC11806290132	PASS
WDC11806290135	PASS
WDC11806290161	PASS
WDC11806290166	PASS
WDC11806290185	PASS
WDC11806290186	PASS
WDC11806290189	PASS
WDC11806290190	PASS
WDC11806290193	PASS
WDC11806290201	PASS
WDC11806290207	PASS
WDC11806290212	PASS
WDC11806290214	PASS
Y21100000492476	PASS
Y21100000492477	PASS
Y21100000492478	PASS
Y21100000492479	PASS
Y21100000492480	PASS
Y21100000492481	PASS
Y21100000492482	PASS
Y21100000492483	PASS
Y21100000492484	PASS
Y21100000492485	PASS
Y21100000492486	PASS
Y21100000492487	PASS
Y21100000492489	PASS
Y21100000492492	PASS
Y21100000492495	PASS
Y21100000492496	PASS
Y21100000492497	PASS
Y21100000492498	PASS
Y21100000492499	PASS
Y21100000492500	PASS
Y21100000492501	PASS
Y21100000492502	PASS
Y21100000492503	PASS
Y21100000492508	PASS
Y21100000492510	PASS
Y21100000492514	PASS
Y21100000492515	PASS
Y21100000492517	PASS
Y21100000492518	PASS
Y21100000492519	PASS
Y21100000492520	PASS
Y21100000492521	PASS
Y21100000492523	PASS
Y21100000492529	PASS
Y21100000492531	PASS
Y21100000492532	PASS
Y21100000492533	PASS
Y21100000492534	PASS
Y21100000492537	PASS
Y21100000492539	PASS
Y21100000492540	PASS
Y21100000492541	PASS
Y21100000492544	PASS
Y21100000492546	PASS
Y21100000492551	PASS
Y21100000492552	PASS
Y21100000492554	PASS
Y21100000492558	PASS
Y21100000492560	PASS
Y21100000492563	PASS
Y21100000492564	PASS
Y21100000492565	PASS
Y21100000492569	PASS
Y21100000492570	PASS
Y21100000492572	PASS
Y21100000492573	PASS
Y21100000492574	PASS
Y21100000492577	PASS
Y21100000492579	PASS
Y21100000492581	PASS
Y21100000492582	PASS
Y21100000492583	PASS
Y21100000492587	PASS
Y21100000492588	PASS
Y21100000492590	PASS
Y21100000492591	PASS
Y21100000492592	PASS
Y21100000492593	PASS
Y21100000492595	PASS
Y21100000492596	PASS
Y21100000492598	PASS
Y21100000492599	PASS
Y21100000492600	PASS
Y21100000492601	PASS
Y21100000492602	PASS
Y21100000492603	PASS
Y21100000492604	PASS
Y21100000492605	PASS
Y21100000492606	PASS
Y21100000492607	PASS
Y21100000492608	PASS
Y21100000492609	PASS
Y21100000492610	PASS
Y21100000492612	PASS
Y21100000492614	PASS
Y21100000492616	PASS
Y21100000492619	PASS
Y21100000492622	PASS
Y21100000492623	PASS
Y21100000492626	PASS
Y21100000492628	PASS
Y21100000492632	PASS
Y21100000492636	PASS
Y21100000492638	PASS
Y21100000492639	PASS
Y21100000492640	PASS
1053180816471W	PASS
11481811592871	PASS
11641809199794	PASS
11811809182576	PASS
12081809195141	PASS
13011809195733	PASS
13031809291175	PASS
13071811593547	PASS
13431803628589	PASS
13431809291301	PASS
13681809292691	PASS
13751811580260	PASS
13911809199158	PASS
14121809196060	PASS
15791811592574	PASS
17591809196066	PASS
18691811593468	PASS
18961811593662	PASS
19811809199633	PASS
21011811591252	PASS
21261811590578	PASS
21321811591160	PASS
21361811592619	PASS
22191809196095	PASS
23721809195902	PASS
24391809199397	PASS
25451811590734	PASS
25591809295865	PASS
25601811591152	PASS
26091811592889	PASS
26461811590560	PASS
26581809291226	PASS
26871809291172	PASS
27431809195987	PASS
27771809199051	PASS
28361809199063	PASS
28731809183293	PASS
28761809195989	PASS
28771811590986	PASS
28971811580252	PASS
29261809199388	PASS
29711810065856	PASS
29821809199019	PASS
2BD20220300009	PASS
2BD20220300013	PASS
2BD20220300015	PASS
2BD20220300017	PASS
2BD20220300019	PASS
2BD20220300021	PASS
2BD20220300023	PASS
2BD20220300025	PASS
2BD20220300027	PASS
2BD20220300028	PASS
2BD20220300029	PASS
2BD20220300032	PASS
2BD20220300036	PASS
2BD20220300037	PASS
2BD20220300039	PASS
2BD20220300043	PASS
2BD20220300050	PASS
2BD20220300054	PASS
2BD20220300059	PASS
2BD20220300061	PASS
2BD20220300062	PASS
2BD20220300063	PASS
2BD20220300069	PASS
2BD20220300072	PASS
2BD20220300075	PASS
2BD20220300076	PASS
2BD20220300077	PASS
2BD20220300078	PASS
2BD20220300079	PASS
2BD20220300082	PASS
2BD20220300088	PASS
2BD20220300090	PASS
2BD20220300095	PASS
2BD20220300099	PASS
2BD20220300100	PASS
2BD20220400005	PASS
2BD20220400008	PASS
2BD20220400010	PASS
2BD20220400012	PASS
2BD20220400013	PASS
2BD20220400014	PASS
2BD20220400015	PASS
2BD20220400016	PASS
2BD20220400018	PASS
2BD20220400022	PASS
2BT20080100001	PASS
2BT20080100002	PASS
2BT20080100004	PASS
2BT20080100005	PASS
2BT20080100006	PASS
2BT20080100010	PASS
2BT20080100013	PASS
2BT20080100017	PASS
2BT20080100023	PASS
2BT20080100025	PASS
2BT20080100027	PASS
2BT20080100034	PASS
2BT20080100036	PASS
2BT20080100043	PASS
2BT20080100045	PASS
2BT20080100047	PASS
2BT20080100051	PASS
2BT20080100053	PASS
2BT20080100055	PASS
2BT20080100065	PASS
