ID	RG	CHIP_ID	#SNPS	#READS	AVG_DP	FREEMIX	FREELK1	FREELK0	FREE_RH	FREE_RA	CHIPMIX	CHIPLK1	CHIPLK0	CHIP_RH	CHIP_RA	DPREF	RDPHET	RDPALT
1000434	NA	NA	10000	303322	30.3383	0.00107859	-74437.6	-75183.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1000592	NA	NA	10000	291261	29.129	0.00024483	-71945.3	-80309.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1000612	NA	NA	10000	301703	30.1763	0.000308796	-75566.1	-81332.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1000753	NA	NA	10000	305659	30.5781	0.000404546	-77130.8	-91407.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1000810	NA	NA	10000	306511	30.6572	8.60789e-05	-73815.4	-102105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1000907	NA	NA	10000	299458	29.9488	0.000366642	-75872.1	-80602.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1000917	NA	NA	10000	295369	29.5399	0.00180295	-70739.3	-71368.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1001070	NA	NA	10000	305289	30.532	0.000833009	-75789.1	-78191.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1001091	NA	NA	10000	302737	30.2767	0.000980419	-76099.3	-76511.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1001099	NA	NA	10000	307843	30.7874	0.00117091	-73789.3	-75379.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1001194	NA	NA	10000	301688	30.1748	0.000462054	-75591.2	-79542.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1001738	NA	NA	10000	300277	30.0337	0.00119731	-73781.9	-74166.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1001746	NA	NA	10000	298634	29.8694	0.000293709	-74673.5	-83619	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
