ID,优先纳入,PC,role,value
1006749,FIRST,3,Contaminating,-0.00899968
1006749,FIRST,4,Contaminating,0.0284703
1006900,FIRST,1,Contaminating,-0.0034058
1006900,FIRST,2,Contaminating,-0.0134642
1006900,FIRST,3,Contaminating,-0.085228
1006900,FIRST,4,Contaminating,-0.0193884
1006999,FIRST,1,Contaminating,-0.0192659
1006999,FIRST,2,Contaminating,-0.00942157
1006999,FIRST,3,Contaminating,-0.00205028
1006999,FIRST,4,Contaminating,0.0275791
1007120,FIRST,1,Contaminating,-0.0131915
1007120,FIRST,2,Contaminating,-0.0118224
1007120,FIRST,3,Contaminating,-0.116541
1007120,FIRST,4,Contaminating,0.152852
1007170,FIRST,1,Contaminating,-0.0230461
1007170,FIRST,2,Contaminating,-0.0748469
1007170,FIRST,3,Contaminating,-0.073722
1007170,FIRST,4,Contaminating,-0.0619502
1007607,FIRST,1,Contaminating,-0.0123533
1007607,FIRST,2,Contaminating,-0.0269836
1007607,FIRST,3,Contaminating,-0.00699387
1007607,FIRST,4,Contaminating,0.015449
1007633,FIRST,1,Contaminating,-0.0227787
1007633,FIRST,2,Contaminating,-0.0949797
1007633,FIRST,3,Contaminating,-0.104824
1007633,FIRST,4,Contaminating,0.0703973
1007642,FIRST,1,Contaminating,-0.0222896
1007642,FIRST,2,Contaminating,-0.041282
1007642,FIRST,3,Contaminating,-0.0293178
1007642,FIRST,4,Contaminating,0.0100103
1007647,FIRST,1,Contaminating,-0.0377395
1007647,FIRST,2,Contaminating,-0.0240331
1007647,FIRST,3,Contaminating,0.0499706
1007647,FIRST,4,Contaminating,-0.0142127
1009658,FIRST,1,Contaminating,-0.0240791
1009658,FIRST,2,Contaminating,-0.000265039
1009658,FIRST,3,Contaminating,-0.13381
1009658,FIRST,4,Contaminating,-0.0580173
1009684,FIRST,1,Contaminating,-0.0127089
1009684,FIRST,2,Contaminating,-0.0302467
1009684,FIRST,3,Contaminating,-0.040597
1009684,FIRST,4,Contaminating,0.0043068
1009700,FIRST,1,Contaminating,-0.017508
1009700,FIRST,2,Contaminating,-0.047655
1009700,FIRST,3,Contaminating,0.0125016
1009700,FIRST,4,Contaminating,0.0342174
1009704,FIRST,1,Contaminating,-0.0119076
1009704,FIRST,2,Contaminating,-0.0326985
1009704,FIRST,3,Contaminating,-0.0153147
1009704,FIRST,4,Contaminating,0.0248519
1009782,FIRST,1,Contaminating,-0.164181
1009782,FIRST,2,Contaminating,-0.217639
1009782,FIRST,3,Contaminating,0.174411
1009782,FIRST,4,Contaminating,0.466281
1009784,FIRST,1,Contaminating,-0.0025792
1009784,FIRST,2,Contaminating,-0.0323607
1009784,FIRST,3,Contaminating,-0.121757
1009784,FIRST,4,Contaminating,-0.000660046
1009796,FIRST,1,Contaminating,-0.0524547
1009796,FIRST,2,Contaminating,-0.0788389
1009796,FIRST,3,Contaminating,-0.0828572
1009796,FIRST,4,Contaminating,0.088641
1009802,FIRST,1,Contaminating,-0.0185423
1009802,FIRST,2,Contaminating,-0.0395905
1009802,FIRST,3,Contaminating,-0.0198789
1009802,FIRST,4,Contaminating,-0.0117132
1009812,FIRST,1,Contaminating,-0.0207894
1009812,FIRST,2,Contaminating,-0.02372
1009812,FIRST,3,Contaminating,-0.0169198
1009812,FIRST,4,Contaminating,0.0259928
1138837,FIRST,1,Contaminating,0.00654059
1138837,FIRST,2,Contaminating,-0.0704105
1138837,FIRST,3,Contaminating,0.00650126
1138837,FIRST,4,Contaminating,0.02195
1138912,FIRST,1,Contaminating,0.00893571
1138912,FIRST,2,Contaminating,-0.0329536
1138912,FIRST,3,Contaminating,0.133066
1138912,FIRST,4,Contaminating,0.0980937
1139281,FIRST,1,Contaminating,-0.163912
1139281,FIRST,2,Contaminating,-0.137263
1139281,FIRST,3,Contaminating,-0.00472996
1139281,FIRST,4,Contaminating,-0.00587651
1139354,FIRST,1,Contaminating,-0.0207253
1139354,FIRST,2,Contaminating,-0.0253756
1139354,FIRST,3,Contaminating,-0.0354213
