ID,优先纳入,AVG_DP,FREEMIX,status
2BT22060700022,FIRST,39.6925,0.00076765,PASS
2BT22060700023,FIRST,56.0381,0.00119237,PASS
2BT22060700024,FIRST,61.4937,0.00086357,PASS
2BT22060700025,FIRST,60.3822,0.00145653,PASS
2BT22060700026,FIRST,52.2388,0.000890599,PASS
2BT22060700027,FIRST,50.0915,0.00105746,PASS
2BT22060700028,FIRST,45.5046,0.00114912,PASS
2BT22060700029,FIRST,52.5776,0.00104989,PASS
2BT22060700030,FIRST,47.7729,0.00145634,PASS
2ZDM,FIRST,27.7589,0.00062154,PASS
3hFib,FIRST,32.8416,0.000569953,PASS
3LJW,FIRST,29.4052,0.00118783,PASS
42LDH,FIRST,34.1386,0.00035722,PASS
43CJQ,FIRST,29.0527,0.000775846,PASS
45LRH,FIRST,28.5516,0.00079661,PASS
4WQ,FIRST,32.2456,0.000431315,PASS
56PSL,FIRST,29.9269,0.00141647,PASS
5C3,FIRST,36.2334,0.000721608,PASS
5CJ,FIRST,27.184,0.00104953,PASS
6ZLF,FIRST,33.2286,0.000803062,PASS
76YXN,FIRST,29.1011,0.000431279,PASS
77HZH,FIRST,42.7398,0.00061017,PASS
7JZW,FIRST,30.8196,0.000383359,PASS
82WXQ,FIRST,28.9864,0.00109551,PASS
96WYQ,FIRST,28.3328,0.00147235,PASS
97LYX,FIRST,28.9583,0.00121573,PASS
99LJF,FIRST,28.7928,0.00101327,PASS
A140019A,FIRST,47.004,4.72e-05,PASS
A140135,FIRST,35.694,3.87e-08,PASS
A140136,FIRST,29.4927,0.00014415,PASS
A140227A,FIRST,40.5017,0.000264304,PASS
A140228A,FIRST,39.608,0.000122237,PASS
A140417,FIRST,36.2719,0.000117684,PASS
A140418,FIRST,34.6659,0.000345861,PASS
A150001A,FIRST,44.049,0.00140868,PASS
A160212,FIRST,28.3378,0.00063003,PASS
A160221,FIRST,30.0745,0.00133714,PASS
A160251,FIRST,28.7051,0.000547127,PASS
A160252,FIRST,28.1364,0.000339991,PASS
A160442A,FIRST,29.9779,0.000325189,PASS
A160485,FIRST,29.8004,0.000468172,PASS
A160647B,FIRST,27.3953,0.000579928,PASS
A160681A,FIRST,29.5921,0.00243678,PASS
A160688B,FIRST,41.3292,0.00678028,PASS
A160781,FIRST,27.4156,0.000916623,PASS
A180282,FIRST,38.7849,0.000215523,PASS
A180285,FIRST,38.3963,0.000260479,PASS
A180287,FIRST,37.6382,0.000221126,PASS
A190117A,FIRST,51.9735,0.00363453,PASS
A190118A,FIRST,43.7284,0.000249703,PASS
A190119A,FIRST,54.3527,0.000315272,PASS
A200126,FIRST,36.9278,0.000947501,PASS
A200137,FIRST,37.5891,1.43e-05,PASS
A200256,FIRST,36.6838,9.22e-05,PASS
A200301,FIRST,37.5555,3.97e-05,PASS
A200369,FIRST,36.5746,0.000231027,PASS
