ID	质控结果	原因
BA18B	通过	通过质控
BA18C	通过	通过质控
BA297A	通过	通过质控
BA297B	通过	通过质控
BA297C	通过	通过质控
BA298A	通过	通过质控
BA298B	通过	通过质控
BA298C	通过	通过质控
BA304A	通过	通过质控
BA304B	通过	通过质控
BA304C	通过	通过质控
BA3A	通过	通过质控
BA428A	通过	通过质控
BA428B	通过	通过质控
BA428C	通过	通过质控
BA436A	通过	通过质控
BA436B	通过	通过质控
BA436C	通过	通过质控
BA45A	通过	通过质控
BA45B	通过	通过质控
BA45C	通过	通过质控
BA52A	通过	通过质控
BA52B	通过	通过质控
BA52C	通过	通过质控
BA593A	通过	通过质控
BA593B	通过	通过质控
BA593C	通过	通过质控
BA597A	通过	通过质控
BA597B	通过	通过质控
BA597C	通过	通过质控
BA59A	通过	通过质控
BA59B	通过	通过质控
BA59C	通过	通过质控
BA60A	通过	通过质控
BA60B	通过	通过质控
BA60C	通过	通过质控
BA612A	通过	通过质控
BA612B	通过	通过质控
BA612C	通过	通过质控
BA615A	通过	通过质控
BA615B	通过	通过质控
BA615C	通过	通过质控
BA616A	通过	通过质控
BA616B	通过	通过质控
BA616C	通过	通过质控
BA618A	通过	通过质控
BA618B	通过	通过质控
BA618C	通过	通过质控
BA619A	通过	通过质控
BA619B	通过	通过质控
BA619C	通过	通过质控
BA620A	通过	通过质控
BA620B	通过	通过质控
BA620C	通过	通过质控
BA640A	通过	通过质控
BA640B	通过	通过质控
BA640C	通过	通过质控
BA644A	不通过	mtDNA copy number<50（最低 41.403642）
BA644B	通过	通过质控
BA644C	通过	通过质控
BA652A	通过	通过质控
BA652B	通过	通过质控
BA652C	通过	通过质控
BA653A	通过	通过质控
BA653B	通过	通过质控
BA653C	通过	通过质控
BA654A	通过	通过质控
BA654B	通过	通过质控
BA654C	通过	通过质控
BA657A	通过	通过质控
BA657B	通过	通过质控
BA657C	通过	通过质控
BA658A	通过	通过质控
BA658B	通过	通过质控
BA658C	通过	通过质控
BA659A	通过	通过质控
BA659B	通过	通过质控
BA659C	通过	通过质控
BA660A	通过	通过质控
BA660B	通过	通过质控
BA660C	通过	通过质控
BA662A	通过	通过质控
BA662B	通过	通过质控
BA662C	通过	通过质控
BA663A	通过	通过质控
BA663B	通过	通过质控
BA663C	通过	通过质控
BA666A	通过	通过质控
BA666B	通过	通过质控
BA666C	通过	通过质控
BA667A	通过	通过质控
BA667B	通过	通过质控
BA667C	通过	通过质控
BA668A	通过	通过质控
BA668B	通过	通过质控
BA668C	通过	通过质控
BA669A	通过	通过质控
BA669B	通过	通过质控
BA669C	通过	通过质控
BA671A	通过	通过质控
BA671B	通过	通过质控
BA671C	通过	通过质控
BA673A	通过	通过质控
BA673B	通过	通过质控
BA673C	通过	通过质控
BA674A	不通过	mtDNA copy number<50（最低 39.338854）
BA674B	通过	通过质控
BA674C	通过	通过质控
BA675A	通过	通过质控
BA675B	通过	通过质控
BA675C	通过	通过质控
BA676A	通过	通过质控
BA676B	通过	通过质控
BA676C	通过	通过质控
BA677A	通过	通过质控
BA677B	通过	通过质控
BA677C	通过	通过质控
BA678A	通过	通过质控
BA678B	通过	通过质控
BA678C	通过	通过质控
BA679A	通过	通过质控
BA679B	通过	通过质控
BA679C	通过	通过质控
BA680A	通过	通过质控
BA680B	通过	通过质控
BA680C	通过	通过质控
BA681A	通过	通过质控
BA681B	通过	通过质控
BA681C	通过	通过质控
BA684A	通过	通过质控
BA684B	通过	通过质控
BA684C	通过	通过质控
BA685A	通过	通过质控
BA685B	通过	通过质控
BA685C	通过	通过质控
BA687A	通过	通过质控
BA687B	通过	通过质控
BA687C	通过	通过质控
BA691A	通过	通过质控
BA691B	通过	通过质控
BA691C	通过	通过质控
BA692A	通过	通过质控
BA692B	通过	通过质控
BA692C	通过	通过质控
BA694A	通过	通过质控
BA694B	通过	通过质控
BA694C	通过	通过质控
BA696A	通过	通过质控
BA696B	通过	通过质控
BA696C	通过	通过质控
BA697A	通过	通过质控
BA697B	通过	通过质控
BA697C	通过	通过质控
BA700A	通过	通过质控
BA700B	通过	通过质控
BA700C	通过	通过质控
BA701A	不通过	mtDNA copy number<50（最低 29.982427）
BA701B	通过	通过质控
BA701C	通过	通过质控
BA704A	通过	通过质控
BA704B	通过	通过质控
BA704C	通过	通过质控
BA705A	通过	通过质控
BA705B	通过	通过质控
BA705C	通过	通过质控
BA706A	通过	通过质控
BA706B	通过	通过质控
BA706C	通过	通过质控
BA707A	通过	通过质控
BA707B	通过	通过质控
BA707C	通过	通过质控
BA709A	通过	通过质控
BA709B	通过	通过质控
BA709C	通过	通过质控
BA711A	通过	通过质控
BA711B	通过	通过质控
BA711C	通过	通过质控
BA712A	通过	通过质控
BA712B	通过	通过质控
BA712C	不通过	mtDNA copy number<50（最低 43.853752）
BA714A	通过	通过质控
BA714B	通过	通过质控
BA714C	通过	通过质控
BA717A	通过	通过质控
BA717B	通过	通过质控
BA717C	通过	通过质控
BA718A	通过	通过质控
BA718B	通过	通过质控
BA718C	通过	通过质控
BA719A	不通过	mtDNA copy number<50（最低 45.306244）
BA719B	通过	通过质控
BA719C	通过	通过质控
BA721A	通过	通过质控
BA721B	通过	通过质控
BA721C	通过	通过质控
BA77A	通过	通过质控
BA77B	通过	通过质控
BA77C	通过	通过质控
BASC1C	通过	通过质控
C15	通过	通过质控
C150C	通过	通过质控
C153C	通过	通过质控
C15C	通过	通过质控
C20C	通过	通过质控
C21C	通过	通过质控
C227C	通过	通过质控
C25C	通过	通过质控
C26C	通过	通过质控
C272C	通过	通过质控
C275C	通过	通过质控
C276C	通过	通过质控
C277C	通过	通过质控
C278C	通过	通过质控
C281C	通过	通过质控
C29C	通过	通过质控
C312C	通过	通过质控
C313C	通过	通过质控
C316C	不通过	污染率>0.02（最高 0.036263）
C31C	通过	通过质控
C322C	通过	通过质控
C330C	通过	通过质控
C335C	通过	通过质控
C337C	通过	通过质控
C338C	通过	通过质控
C340C	通过	通过质控
C36C	通过	通过质控
C38C	通过	通过质控
C39C	通过	通过质控
C41C	通过	通过质控
C421C	通过	通过质控
C42C	通过	通过质控
C45C	通过	通过质控
C463C	通过	通过质控
C468C	通过	通过质控
C46C	通过	通过质控
C488C	通过	通过质控
C491C	通过	通过质控
C492C	通过	通过质控
C493C	通过	通过质控
C494C	通过	通过质控
C496C	通过	通过质控
C499C	通过	通过质控
C49C	通过	通过质控
C500C	通过	通过质控
C502C	通过	通过质控
C507C	通过	通过质控
C509C	通过	通过质控
C50C	通过	通过质控
C512C	通过	通过质控
C513C	通过	通过质控
C514C	通过	通过质控
C515C	通过	通过质控
C517C	通过	通过质控
C521C	通过	通过质控
C524C	通过	通过质控
C527C	通过	通过质控
C531C	通过	通过质控
C533C	通过	通过质控
C535C	通过	通过质控
C53C	通过	通过质控
C542C	通过	通过质控
C568C	通过	通过质控
C569C	通过	通过质控
C570C	通过	通过质控
C571C	通过	通过质控
C572C	通过	通过质控
C573C	通过	通过质控
C574C	通过	通过质控
C575C	通过	通过质控
C576C	通过	通过质控
C578C	通过	通过质控
C579C	通过	通过质控
C580C	不通过	污染率>0.02（最高 0.023122）
C582C	通过	通过质控
C584C	通过	通过质控
C589C	通过	通过质控
C598C	通过	通过质控
C5C	通过	通过质控
C603C	通过	通过质控
C605C	通过	通过质控
C607C	通过	通过质控
C608C	通过	通过质控
C609C	通过	通过质控
C610C	通过	通过质控
C611C	通过	通过质控
C612C	通过	通过质控
C613C	通过	通过质控
C615C	通过	通过质控
C616C	通过	通过质控
C617C	通过	通过质控
C618C	通过	通过质控
C619C	通过	通过质控
C620C	通过	通过质控
C623C	通过	通过质控
C626C	通过	通过质控
C628C	通过	通过质控
C631C	通过	通过质控
C632C	通过	通过质控
C633C	通过	通过质控
C634C	通过	通过质控
C635C	通过	通过质控
C636C	通过	通过质控
C639C	通过	通过质控
C63C	通过	通过质控
C640C	通过	通过质控
C641C	通过	通过质控
C642C	通过	通过质控
C644C	通过	通过质控
C645C	通过	通过质控
C646C	通过	通过质控
C647C	通过	通过质控
C648C	通过	通过质控
C650C	通过	通过质控
C651C	通过	通过质控
C653C	通过	通过质控
C654C	通过	通过质控
C655C	通过	通过质控
C656C	通过	通过质控
C657C	通过	通过质控
C658C	通过	通过质控
C659C	通过	通过质控
C661C	通过	通过质控
C663C	通过	通过质控
C664C	通过	通过质控
C665C	通过	通过质控
C666C	通过	通过质控
C667C	不通过	污染率>0.02（最高 0.072129）
C668C	通过	通过质控
C669C	不通过	污染率>0.02（最高 0.166354）
C670C	通过	通过质控
C671C	通过	通过质控
C672C	通过	通过质控
C673C	通过	通过质控
C674C	通过	通过质控
C675C	通过	通过质控
C676C	通过	通过质控
C677C	通过	通过质控
C678C	不通过	污染率>0.02（最高 0.158379）
C680C	通过	通过质控
C681C	通过	通过质控
C682C	通过	通过质控
C683C	通过	通过质控
C684C	通过	通过质控
C685C	通过	通过质控
C687C	通过	通过质控
C688C	通过	通过质控
C689C	通过	通过质控
C68C	通过	通过质控
C690C	通过	通过质控
C691C	通过	通过质控
C692C	通过	通过质控
